location_code,damage_code,collision_code,road_code,light_code,road_type_code,traffic_code,weather_code,emp_liability_code,kpi_cause_code
RAD,NSR,SSW,DRY,DAY,MULTI,HEAVY,FINE,4,CARS TRUCKS
BSP,REAR,N2T,DRY,DAY,SINGLE,LIGHT,FINE,1,CARS TRUCKS
RBT,OSM,SSW,DRY,DAY,SINGLE,MODERATE,FINE,4,CARS TRUCKS
RAD,NSR,TAI,DRY,NIGHT,SINGLE,LIGHT,FINE,4,EMP
DEPOT,NSM,SSW,DRY,NIGHT,SINGLE,NO,FINE,4,CARS TRUCKS
RAD,OSR,TAI,DRY,DAY,SINGLE,LIGHT,FINE,4,CARS TRUCKS
BSP,NSR,SSW,DRY,DAY,MULTI,HEAVY,FINE,4,EMP
XRD,OSF,HON,DRY,DAY,SINGLE,HEAVY,FINE,4,CARS TRUCKS
RAD,REAR,N2T,SLIP,DAY,MULTI,MODERATE,FINE,1,ROA
RAD,NSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,1,EMP
RAD,OSR,TAI,DRY,DAY,SINGLE,MODERATE,FINE,4,EMP
BSP,MIR,SSW,DRY,DAY,SINGLE,NO,FINE,4,EMP
BSP,FRNT,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
RAD,NSF,ROO,DRY,NIGHT,SINGLE,HEAVY,FINE,4,ENV
RAD,OSR,SSW,WET,DAY,MULTI,HEAVY,RAIN,4,CARS TRUCKS
XRD,OSF,SSW,DRY,DAY,MULTI,HEAVY,FINE,1,EMP
BSP,NSF,SSW,WET,NIGHT,SINGLE,LIGHT,RAIN,4,CARS TRUCKS
RAD,OSR,SSW,DRY,DAY,MULTI,HEAVY,FINE,4,ROA
RAD,REAR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
RAD,NSM,SSW,DRY,DAY,MULTI,LIGHT,FINE,1,EMP
BSP,MIR,SSW,DRY,DAY,SINGLE,NO,FINE,4,CARS TRUCKS
BSP,NSR,N2T,DRY,DAY,MULTI,LIGHT,FINE,5,ROA
RAD,NSM,SSW,DRY,DAY,MULTI,LIGHT,FINE,1,CARS TRUCKS
RAD,FRNT,TBO,DRY,DAY,SINGLE,MODERATE,FINE,1,ROA
BSP,OSR,TBO,DRY,DAY,SINGLE,LIGHT,FINE,1,CARS TRUCKS
RAD,NSR,N2T,DRY,DAY,SINGLE,LIGHT,FINE,1,ROA
BSP,NSM,SSW,DRY,DAY,MULTI,MODERATE,FINE,4,BUS - OTHER
RAD,OSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,ROA
BSP,REAR,N2T,DRY,DAY,SINGLE,LIGHT,FINE,1,ROA
BSP,NSR,SSW,DRY,DAY,SINGLE,HEAVY,FINE,4,EMP
RAD,OSR,SSW,DRY,NIGHT,SINGLE,NO,FINE,6,OTH
BSP,FRNT,N2T,DRY,DAY,SINGLE,LIGHT,FINE,1,ROA
RAD,NSF,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,CARS TRUCKS
RAD,OSM,SSW,DRY,DAY,SINGLE,MODERATE,FINE,4,CARS TRUCKS
RAD,MIR,SSW,DRY,NIGHT,SINGLE,LIGHT,FINE,1,ROA
RAD,NSF,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
RAD,NSR,SSW,WET,DAY,SINGLE,HEAVY,SUN,4,CARS TRUCKS
RAD,OSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,1,EMP
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
RAD,FRNT,HON,DRY,NIGHT,MULTI,NO,FINE,0,OTH
BSP,OSF,SSW,DRY,DAY,MULTI,HEAVY,FINE,1,CARS TRUCKS
BSP,OSR,HON,DRY,DAY,BUS,NO,FINE,1,BUS - OTHER
RAD,NSF,HON,DRY,DAWN,SINGLE,HEAVY,FINE,0,GEN
TIN,OSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
RAD,OSF,TBO,DRY,DAY,MULTI,LIGHT,FINE,1,ROA
XRD,MIR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,1,CARS TRUCKS
RAD,NSR,SSW,WET,DAY,MULTI,LIGHT,RAIN,1,CARS TRUCKS
RAD,FRNT,SSW,DRY,DAY,MULTI,HEAVY,FINE,0,OTH
RAD,FRNT,HON,WET,NIGHT,SINGLE,LIGHT,RAIN,4,CARS TRUCKS
RAD,NSF,SSW,DRY,DAY,SINGLE,LIGHT,FINE,6,OTH
XRD,OSF,SSW,WET,DAY,MULTI,HEAVY,SUN,1,CARS TRUCKS
BSP,OSR,TAI,DRY,DAY,SINGLE,MODERATE,FINE,4,CARS TRUCKS
RAD,REAR,REVERSING,DRY,DAY,SINGLE,NO,FINE,4,EMP
RAD,FRNT,SSW,WET,DAY,SINGLE,NO,RAIN,4,CARS TRUCKS
RAD,OSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,CARS TRUCKS
BSP,NSR,SSW,DRY,DAY,SINGLE,NO,FINE,4,EMP
RAD,NSR,SSW,DRY,DAWN,SINGLE,LIGHT,FINE,4,CARS TRUCKS
RAD,OSR,TAI,DRY,DAY,SINGLE,LIGHT,FINE,1,EMP
BSP,NSR,TAI,DRY,DAY,BUS,LIGHT,FINE,4,EMP
BSP,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
RAD,NSF,SSW,DRY,DAY,SINGLE,LIGHT,FINE,1,ROA
XRD,REAR,SSW,DRY,NIGHT,SINGLE,HEAVY,FINE,4,EMP
BSP,NSR,TAI,DRY,DAY,SINGLE,LIGHT,FINE,4,CARS TRUCKS
RAD,FRNT,SSW,DRY,DUSK,MULTI,LIGHT,FINE,0,BUS - OTHER
RAD,NSR,SSW,WET,DAY,MULTI,HEAVY,RAIN,4,CARS TRUCKS
RAD,NSM,REVERSING,WET,NIGHT,MULTI,HEAVY,RAIN,1,ROA
RAD,REAR,N2T,DRY,DAY,MULTI,HEAVY,FINE,1,ROA
BSP,REAR,N2T,DRY,DAY,SINGLE,HEAVY,FINE,1,ROA
BSP,NSR,SSW,DRY,DAY,BUS,MODERATE,FINE,4,EMP
BSP,MIR,SSW,DRY,DAWN,MULTI,MODERATE,FINE,4,BUS - OTHER
BSP,OSR,N2T,DRY,DAY,MULTI,LIGHT,FINE,1,ROA
RAD,REAR,N2T,WET,DUSK,SINGLE,HEAVY,RAIN,1,CARS TRUCKS
RAD,NSF,SSW,DRY,DAY,SINGLE,LIGHT,FINE,1,EMP
RAD,OSR,SSW,DRY,DAY,SINGLE,HEAVY,FINE,3,EMP
BSP,NSF,SSW,DRY,DAWN,BUS,MODERATE,FINE,4,EMP
RAD,NSF,SSW,DRY,DAY,SINGLE,NO,FINE,4,EMP
BSP,OSF,REVERSING,DRY,DAY,SINGLE,LIGHT,FINE,1,ROA
RAD,NSR,SSW,DRY,DAY,MULTI,LIGHT,FINE,4,EMP
RAD,NSR,TAI,DRY,DAY,BUS,HEAVY,FINE,4,EMP
BSP,MIR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
BSP,OSR,SSW,DRY,DAY,SINGLE,MODERATE,FINE,1,CARS TRUCKS
XRD,FRNT,TBO,DRY,DAY,MULTI,HEAVY,FINE,1,CYC
RAD,NSR,SSW,DRY,DAY,SINGLE,NO,FINE,4,EMP
BSP,OSR,TAI,WET,NIGHT,BUS,LIGHT,RAIN,4,EMP
RAD,REAR,TAI,DRY,DAY,MULTI,LIGHT,FINE,4,EMP
RAD,FRNT,SSW,WET,DAY,MULTI,HEAVY,RAIN,4,CARS TRUCKS
