location_code,damage_code,collision_code,road_code,light_code,road_type_code,traffic_code,weather_code,emp_liability_code,kpi_cause_code
RAD,NSR,SSW,DRY,DAY,MULTI,HEAVY,FINE,RES,CARS TRUCKS
BSP,REAR,N2T,DRY,DAY,SINGLE,LIGHT,FINE,NRES,CARS TRUCKS
RBT,OSM,SSW,DRY,DAY,SINGLE,MODERATE,FINE,RES,CARS TRUCKS
RAD,NSR,TAI,DRY,NIGHT,SINGLE,LIGHT,FINE,RES,EMP
DEPOT,NSM,SSW,DRY,NIGHT,SINGLE,NO,FINE,RES,CARS TRUCKS
RAD,OSR,TAI,DRY,DAY,SINGLE,LIGHT,FINE,RES,CARS TRUCKS
BSP,NSR,SSW,DRY,DAY,MULTI,HEAVY,FINE,RES,EMP
XRD,OSF,HON,DRY,DAY,SINGLE,HEAVY,FINE,RES,CARS TRUCKS
RAD,REAR,N2T,SLIP,DAY,MULTI,MODERATE,FINE,NRES,ROA
RAD,NSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,NRES,EMP
RAD,OSR,TAI,DRY,DAY,SINGLE,MODERATE,FINE,RES,EMP
BSP,MIR,SSW,DRY,DAY,SINGLE,NO,FINE,RES,EMP
BSP,FRNT,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
RAD,NSF,ROO,DRY,NIGHT,SINGLE,HEAVY,FINE,RES,ENV
RAD,OSR,SSW,WET,DAY,MULTI,HEAVY,RAIN,RES,CARS TRUCKS
XRD,OSF,SSW,DRY,DAY,MULTI,HEAVY,FINE,NRES,EMP
BSP,NSF,SSW,WET,NIGHT,SINGLE,LIGHT,RAIN,RES,CARS TRUCKS
RAD,OSR,SSW,DRY,DAY,MULTI,HEAVY,FINE,RES,ROA
RAD,REAR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
BSP,FRNT,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
RAD,NSM,SSW,DRY,DAY,MULTI,LIGHT,FINE,NRES,EMP
BSP,MIR,SSW,DRY,DAY,SINGLE,NO,FINE,RES,CARS TRUCKS
BSP,NSR,N2T,DRY,DAY,MULTI,LIGHT,FINE,UN3PAR,ROA
